TMA SUMMARY REPORT (DFTs),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
General,,,,,,,,
0,,,,,,,,
{},,,,,,,,
Slave Address 0x54,,,,,,,,
e5798d25,No desciption,dft_hex0x07,DFTtm8d,0x54,0x07,0x01,5,ten
2a0216d2,No desciption,dft_hex0x07,DFTtm8d,0x54,0x07,0x01,6,ten
dft_hex0x08_ten,No desciption,dft_hex0x08,DFTtm8t,0x54,0x08,0x01,7,ten
hijack_af379456,No desciption,dft_hex0x1B,DFTtm8t,0x54,0x1B,0x01,0,ten
hijacki_af379456,No desciption,dft_hex0x1B,DFTtm8t,0x54,0x1B,0x01,1,ten
hijack_cad020c2,No desciption,dft_hex0x1B,DFTtm8t,0x54,0x1B,0x01,2,ten
hijacki_cad020c2,No desciption,dft_hex0x1B,DFTtm8t,0x54,0x1B,0x01,3,ten
hijack_a6d52f4f,No desciption,dft_hex0x1B,DFTtm8t,0x54,0x1B,0x01,4,ten
hijacki_a6d52f4f,No desciption,dft_hex0x1B,DFTtm8t,0x54,0x1B,0x01,5,ten
dft_hex0x1B_ten,No desciption,dft_hex0x1B,DFTtm8t,0x54,0x1B,0x01,7,ten
"XWALTZ,XceleraCORE,XDRIVER,XTOPSW",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ISLOPECOMP_f4252e65,No desciption,dft_hex0x09,DFTtm8,0x54,0x09,0x02,0,TAI
a0,No desciption,dft_hex0x09,DFTtm8,0x54,0x09,0x02,7,TAI
currentlimitlive_98fa5525,No desciption,dft_hex0x09,DFTtm8,0x54,0x09,0x02,0,tdi
a0,No desciption,dft_hex0x09,DFTtm8,0x54,0x09,0x02,7,tdi
cboot_35156756,No desciption,dft_hex0x09,DFTtm8,0x54,0x09,0x01,0,ten
measure_currentlimit_98fa5525,No desciption,dft_hex0x09,DFTtm8,0x54,0x09,0x01,1,ten
slopecomp_f4252e65,No desciption,dft_hex0x09,DFTtm8,0x54,0x09,0x01,2,ten
taiislopecomp_f4252e65,No desciption,dft_hex0x09,DFTtm8,0x54,0x09,0x01,3,ten
fetdriver_8018c87b,No desciption,dft_hex0x09,DFTtm8,0x54,0x09,0x01,4,ten
dft_hex0x09_ten,No desciption,dft_hex0x09,DFTtm8,0x54,0x09,0x01,7,ten
"XWALTZ,XceleraCORE,XFAULTMANAGER,XDEBUG",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
7e6d3e04,No desciption,dft_hex0x0A,DFTtm8d,0x54,0x0A,0x02,0,tdi
7e48a0c0,No desciption,dft_hex0x0A,DFTtm8d,0x54,0x0A,0x02,1,tdi
6044b743,No desciption,dft_hex0x0A,DFTtm8d,0x54,0x0A,0x02,2,tdi
a0,No desciption,dft_hex0x0A,DFTtm8d,0x54,0x0A,0x02,7,tdi
7e6d3e04,No desciption,dft_hex0x0A,DFTtm8d,0x54,0x0A,0x01,0,ten
7e48a0c0,No desciption,dft_hex0x0A,DFTtm8d,0x54,0x0A,0x01,7,ten
6044b743,No desciption,dft_hex0x0B,DFTtm8t,0x54,0x0B,0x01,6,ten
dft_hex0x0C_ten,No desciption,dft_hex0x0C,DFTtm8t,0x54,0x0C,0x01,7,ten
hijack_54e727e4,No desciption,dft_hex0x1C,DFTtm8t,0x54,0x1C,0x01,0,ten
hijacki_54e727e4,No desciption,dft_hex0x1C,DFTtm8t,0x54,0x1C,0x01,1,ten
hijack_55e03ae5,No desciption,dft_hex0x1C,DFTtm8t,0x54,0x1C,0x01,2,ten
hijacki_55e03ae5,No desciption,dft_hex0x1C,DFTtm8t,0x54,0x1C,0x01,3,ten
hijack_9929432d,No desciption,dft_hex0x1C,DFTtm8t,0x54,0x1C,0x01,4,ten
hijacki_9929432d,No desciption,dft_hex0x1C,DFTtm8t,0x54,0x1C,0x01,5,ten
hijack_7e3d0298,No desciption,dft_hex0x1C,DFTtm8t,0x54,0x1C,0x01,6,ten
hijacki_7e3d0298,No desciption,dft_hex0x1C,DFTtm8t,0x54,0x1C,0x01,7,ten
hijack_9b5d9ad2,No desciption,dft_hex0x1D,DFTtm8t,0x54,0x1D,0x01,0,ten
hijacki_9b5d9ad2,No desciption,dft_hex0x1D,DFTtm8t,0x54,0x1D,0x01,1,ten
hijack_0b40c959,No desciption,dft_hex0x1D,DFTtm8t,0x54,0x1D,0x01,2,ten
hijacki_0b40c959,No desciption,dft_hex0x1D,DFTtm8t,0x54,0x1D,0x01,3,ten
hijack_c5202207,No desciption,dft_hex0x1D,DFTtm8t,0x54,0x1D,0x01,4,ten
hijacki_c5202207,No desciption,dft_hex0x1D,DFTtm8t,0x54,0x1D,0x01,5,ten
dft_hex0x1D_ten,No desciption,dft_hex0x1D,DFTtm8t,0x54,0x1D,0x01,7,ten
"XWALTZ,XceleraCORE,XFAULTMANAGER,XMAIN",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
201f84ba,No desciption,dft_hex0x0D,DFTtm8t,0x54,0x0D,0x01,0,ten
dft_hex0x0D_ten,No desciption,dft_hex0x0D,DFTtm8t,0x54,0x0D,0x01,7,ten
"XWALTZ,XceleraCORE,XPOWERGOOD,XDEBUG",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
6d67c253,No desciption,dft_hex0x0E,DFTtm8,0x54,0x0E,0x02,0,TAI
a0,No desciption,dft_hex0x0E,DFTtm8,0x54,0x0E,0x02,7,TAI
f4762d45,No desciption,dft_hex0x0E,DFTtm8,0x54,0x0E,0x02,0,tdi
1d78f0e4,No desciption,dft_hex0x0E,DFTtm8,0x54,0x0E,0x02,1,tdi
d748b831,No desciption,dft_hex0x0E,DFTtm8,0x54,0x0E,0x02,2,tdi
14c9168a,No desciption,dft_hex0x0E,DFTtm8,0x54,0x0E,0x02,3,tdi
c69fe1aa,No desciption,dft_hex0x0E,DFTtm8,0x54,0x0E,0x02,4,tdi
6fd414fa,No desciption,dft_hex0x0E,DFTtm8,0x54,0x0E,0x02,5,tdi
a0,No desciption,dft_hex0x0E,DFTtm8,0x54,0x0E,0x02,7,tdi
6d67c253,No desciption,dft_hex0x0E,DFTtm8,0x54,0x0E,0x01,0,ten
f4762d45,No desciption,dft_hex0x0E,DFTtm8,0x54,0x0E,0x01,1,ten
1d78f0e4,No desciption,dft_hex0x0E,DFTtm8,0x54,0x0E,0x01,2,ten
