TMA SUMMARY REPORT (DFTs),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
General,,,,,,,,
0,,,,,,,,
"{""TAEXT"": ""5"", ""TAO"": ""7"", ""tdo"": ""6""}",,,,,,,,
Slave Address 0x54,,,,,,,,
"XU3,XceleraCORE,XSERVICE,XBYPASS",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
taext_currentgenerator_9f5fab65,No desciption,dft_hex0x06,DFTtm8t,0x54,0x06,0x01,6,ten
08fed655,No desciption,dft_hex0x06,DFTtm8t,0x54,0x06,0x01,7,ten
"XU3,XceleraCORE,XU19,XLDOconfigNO1",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ldo_ae2828c4,No desciption,dft_hex0x07,DFTtm8t,0x54,0x07,0x01,0,ten
dft_hex0x07_ten,No desciption,dft_hex0x07,DFTtm8t,0x54,0x07,0x01,7,ten
"XU3,XceleraCORE,XU19,XLDOCONFIGURE1",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ldo_18146229,No desciption,dft_hex0x08,DFTtm8t,0x54,0x08,0x01,0,ten
dft_hex0x08_ten,No desciption,dft_hex0x08,DFTtm8t,0x54,0x08,0x01,7,ten
"XU3,XceleraCORE,XU19,XLDOCONFIGURE20mA",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ldo_9aee02b1,No desciption,dft_hex0x09,DFTtm8t,0x54,0x09,0x01,0,ten
dft_hex0x09_ten,No desciption,dft_hex0x09,DFTtm8t,0x54,0x09,0x01,7,ten
"XU3,XceleraCORE,XU19,XLDOFIXED",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ldo_71a83686,No desciption,dft_hex0x0A,DFTtm8t,0x54,0x0A,0x01,0,ten
dft_hex0x0A_ten,No desciption,dft_hex0x0A,DFTtm8t,0x54,0x0A,0x01,7,ten
"XU3,XceleraCORE,XU19,XLDOFIXED1",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ldo_cf1e3a3e,No desciption,dft_hex0x0B,DFTtm8t,0x54,0x0B,0x01,0,ten
dft_hex0x0B_ten,No desciption,dft_hex0x0B,DFTtm8t,0x54,0x0B,0x01,7,ten
"XU3,XceleraCORE,XU19,XLDOSTANDALONE",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ldo_cc7190a0,No desciption,dft_hex0x0C,DFTtm8t,0x54,0x0C,0x01,0,ten
dft_hex0x0C_ten,No desciption,dft_hex0x0C,DFTtm8t,0x54,0x0C,0x01,7,ten
"XU3,XceleraCORE,XU19,XLDOSTANDALONE20mA",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ldo_93422b21,No desciption,dft_hex0x0D,DFTtm8t,0x54,0x0D,0x01,0,ten
dft_hex0x0D_ten,No desciption,dft_hex0x0D,DFTtm8t,0x54,0x0D,0x01,7,ten
"XU3,XceleraCORE,XU19,XLDOUNITY",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
ldo_2d7d2b54,No desciption,dft_hex0x0E,DFTtm8t,0x54,0x0E,0x01,0,ten
dft_hex0x0E_ten,No desciption,dft_hex0x0E,DFTtm8t,0x54,0x0E,0x01,7,ten
"XU3,XceleraCORE,XU19",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
e1adfe2e,No desciption,dft_hex0x0F,DFTtm8d,0x54,0x0F,0x02,0,tdi
3f8f2ada,No desciption,dft_hex0x0F,DFTtm8d,0x54,0x0F,0x02,1,tdi
4c4345e3,No desciption,dft_hex0x0F,DFTtm8d,0x54,0x0F,0x02,2,tdi
f1dbe31b,No desciption,dft_hex0x0F,DFTtm8d,0x54,0x0F,0x02,3,tdi
0f38767e,No desciption,dft_hex0x0F,DFTtm8d,0x54,0x0F,0x02,4,tdi
ea868367,No desciption,dft_hex0x0F,DFTtm8d,0x54,0x0F,0x02,5,tdi
e7b85f8c,No desciption,dft_hex0x0F,DFTtm8d,0x54,0x0F,0x02,6,tdi
a45a1301,No desciption,dft_hex0x0F,DFTtm8d,0x54,0x0F,0x02,7,tdi
e1adfe2e,No desciption,dft_hex0x0F,DFTtm8d,0x54,0x0F,0x01,0,ten
3f8f2ada,No desciption,dft_hex0x0F,DFTtm8d,0x54,0x0F,0x01,1,ten
4c4345e3,No desciption,dft_hex0x0F,DFTtm8d,0x54,0x0F,0x01,2,ten
f1dbe31b,No desciption,dft_hex0x0F,DFTtm8d,0x54,0x0F,0x01,3,ten
0f38767e,No desciption,dft_hex0x0F,DFTtm8d,0x54,0x0F,0x01,4,ten
ea868367,No desciption,dft_hex0x0F,DFTtm8d,0x54,0x0F,0x01,5,ten
e7b85f8c,No desciption,dft_hex0x0F,DFTtm8d,0x54,0x0F,0x01,6,ten
a45a1301,No desciption,dft_hex0x0F,DFTtm8d,0x54,0x0F,0x01,7,ten
"XU3,XceleraCORE,XU21,XAMPCONTROLhigh",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
amplifier_b802e904,No desciption,dft_hex0x10,DFTtm8t,0x54,0x10,0x01,0,ten
dft_hex0x10_ten,No desciption,dft_hex0x10,DFTtm8t,0x54,0x10,0x01,7,ten
"XU3,XceleraCORE,XU21,XAMPCONTROLlow",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
amplifier_7a870fa6,No desciption,dft_hex0x11,DFTtm8t,0x54,0x11,0x01,0,ten
dft_hex0x11_ten,No desciption,dft_hex0x11,DFTtm8t,0x54,0x11,0x01,7,ten
"XU3,XceleraCORE,XU21,XAMPCONTROLmedium",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
amplifier_5bf47c57,No desciption,dft_hex0x12,DFTtm8t,0x54,0x12,0x01,0,ten
dft_hex0x12_ten,No desciption,dft_hex0x12,DFTtm8t,0x54,0x12,0x01,7,ten
"XU3,XceleraCORE,XU21,XAMPFIXEDlow",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
amplifier_04fc710d,No desciption,dft_hex0x13,DFTtm8t,0x54,0x13,0x01,0,ten
dft_hex0x13_ten,No desciption,dft_hex0x13,DFTtm8t,0x54,0x13,0x01,7,ten
"XU3,XceleraCORE,XU21,XAMPFIXEDmedium",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
amplifier_4ca209e2,No desciption,dft_hex0x14,DFTtm8t,0x54,0x14,0x01,0,ten
dft_hex0x14_ten,No desciption,dft_hex0x14,DFTtm8t,0x54,0x14,0x01,7,ten
"XU3,XceleraCORE,XU21,XAMPOPENhigh",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
amplifier_994c1064,No desciption,dft_hex0x15,DFTtm8t,0x54,0x15,0x01,0,ten
dft_hex0x15_ten,No desciption,dft_hex0x15,DFTtm8t,0x54,0x15,0x01,7,ten
"XU3,XceleraCORE,XU21,XAMPOPENlow",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
amplifier_2f4c979a,No desciption,dft_hex0x16,DFTtm8t,0x54,0x16,0x01,0,ten
dft_hex0x16_ten,No desciption,dft_hex0x16,DFTtm8t,0x54,0x16,0x01,7,ten
"XU3,XceleraCORE,XU21,XAMPOPENmedium",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
amplifier_df33d8f6,No desciption,dft_hex0x17,DFTtm8t,0x54,0x17,0x01,0,ten
dft_hex0x17_ten,No desciption,dft_hex0x17,DFTtm8t,0x54,0x17,0x01,7,ten
"XU3,XceleraCORE,XU21",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
62fe4817,No desciption,dft_hex0x18,DFTtm8d,0x54,0x18,0x02,0,tdi
cc3e9c0d,No desciption,dft_hex0x18,DFTtm8d,0x54,0x18,0x02,1,tdi
0ec9f294,No desciption,dft_hex0x18,DFTtm8d,0x54,0x18,0x02,2,tdi
86429fba,No desciption,dft_hex0x18,DFTtm8d,0x54,0x18,0x02,3,tdi
f45774cb,No desciption,dft_hex0x18,DFTtm8d,0x54,0x18,0x02,4,tdi
748f695d,No desciption,dft_hex0x18,DFTtm8d,0x54,0x18,0x02,5,tdi
6d6654a7,No desciption,dft_hex0x18,DFTtm8d,0x54,0x18,0x02,6,tdi
3fc9db87,No desciption,dft_hex0x18,DFTtm8d,0x54,0x18,0x02,7,tdi
62fe4817,No desciption,dft_hex0x18,DFTtm8d,0x54,0x18,0x01,0,ten
cc3e9c0d,No desciption,dft_hex0x18,DFTtm8d,0x54,0x18,0x01,1,ten
0ec9f294,No desciption,dft_hex0x18,DFTtm8d,0x54,0x18,0x01,2,ten
86429fba,No desciption,dft_hex0x18,DFTtm8d,0x54,0x18,0x01,3,ten
f45774cb,No desciption,dft_hex0x18,DFTtm8d,0x54,0x18,0x01,4,ten
748f695d,No desciption,dft_hex0x18,DFTtm8d,0x54,0x18,0x01,5,ten
6d6654a7,No desciption,dft_hex0x18,DFTtm8d,0x54,0x18,0x01,6,ten
3fc9db87,No desciption,dft_hex0x18,DFTtm8d,0x54,0x18,0x01,7,ten
status_e6407cfa,No desciption,dft_hex0x19,DFTtm8t,0x54,0x19,0x01,0,ten
status_a446939a,No desciption,dft_hex0x19,DFTtm8t,0x54,0x19,0x01,1,ten
status_2a13edfc,No desciption,dft_hex0x19,DFTtm8t,0x54,0x19,0x01,2,ten
dft_hex0x19_ten,No desciption,dft_hex0x19,DFTtm8t,0x54,0x19,0x01,7,ten
